site	gene_id	gene_name	chrom	pos	n_sig_windows	min_p	windows
NC_000006.12:157285657	ENSG00000215712.11	TMEM242	chr6	157285657	1	3.27331e-08	up
NC_000010.11:114767134	ENSG00000099204.22	ABLIM1	chr10	114767134	2	3.2817e-08	body,up
NC_000020.11:31053247	ENSG00000215547.1	DEFB115	chr20	31053247	1	3.29045e-08	up
NC_000002.12:74942733	ENSG00000115350.12	POLE4	chr2	74942733	1	3.30509e-08	dn
NC_000005.10:199298	ENSG00000185028.4	LRRC14B	chr5	199298	1	3.30953e-08	dn
NC_000001.11:121645275	ENSG00000188610.12	FAM72B	chr1	121645275	1	3.34621e-08	up
NC_000001.11:2672480	ENSG00000142606.16	MMEL1	chr1	2672480	3	3.39793e-08	body,dn,up
NC_000009.12:15299	ENSG00000181404.18	WASHC1	chr9	15299	1	3.4547e-08	dn
NC_000002.12:15653104	ENSG00000079785.16	DDX1	chr2	15653104	1	3.48139e-08	body
NC_000010.11:46899615	ENSG00000204179.11	PTPN20	chr10	46899615	1	3.6387e-08	up
NC_000010.11:46886031	ENSG00000204179.11	PTPN20	chr10	46886031	1	3.67185e-08	up
NC_000018.10:49495204	ENSG00000265681.8	RPL17	chr18	49495204	1	3.78597e-08	enh
NC_000009.12:113082330	ENSG00000136866.14	ZFP37	chr9	113082330	1	3.79444e-08	dn
NC_000019.10:21573456	ENSG00000197013.11	ZNF429	chr19	21573456	1	3.7989e-08	dn
NC_000009.12:70003865	ENSG00000165072.10	MAMDC2	chr9	70003865	1	3.81747e-08	up
NC_000001.11:94390851	ENSG00000117528.14	ABCD3	chr1	94390851	1	3.82632e-08	up
NC_000001.11:2672848	ENSG00000142606.16	MMEL1	chr1	2672848	3	3.83725e-08	body,dn,up
NC_000007.14:100994924	ENSG00000169876.14	MUC17	chr7	100994924	1	3.84837e-08	up
NC_000011.10:27635654	ENSG00000176697.20	BDNF	chr11	27635654	1	3.88611e-08	up
NC_000007.14:65080784	ENSG00000213462.5	ERV3-1	chr7	65080784	1	3.93983e-08	up
NC_000009.12:113065605	ENSG00000136866.14	ZFP37	chr9	113065605	1	4.04084e-08	dn
NC_000001.11:115258825	ENSG00000134259.6	NGF	chr1	115258825	1	4.15303e-08	up
NC_000009.12:113082016	ENSG00000136866.14	ZFP37	chr9	113082016	1	4.15609e-08	dn
NC_000002.12:23431753	ENSG00000119771.15	KLHL29	chr2	23431753	1	4.17519e-08	body
NC_000014.9:18655511	ENSG00000257115.2	OR11H12	chr14	18655511	1	4.18911e-08	up
NC_000003.12:12031946	ENSG00000157152.17	SYN2	chr3	12031946	1	4.21039e-08	body
NC_000007.14:158962666	ENSG00000126870.16	DYNC2I1	chr7	158962666	2	4.27137e-08	body,dn
NC_000005.10:31498636	ENSG00000113360.17	DROSHA	chr5	31498636	3	4.2962e-08	body,dn,up
NC_000001.11:217133420	ENSG00000196482.18	ESRRG	chr1	217133420	2	4.33281e-08	body,up
NC_000005.10:10425955	ENSG00000145491.12	ROPN1L	chr5	10425955	2	4.37621e-08	body,enh
NC_000008.11:272141	ENSG00000172748.14	ZNF596	chr8	272141	1	4.41416e-08	dn
NC_000012.12:9942746	ENSG00000172322.14	CLEC12A	chr12	9942746	1	4.45703e-08	body
NC_000019.10:21621458	ENSG00000197013.11	ZNF429	chr19	21621458	1	4.55301e-08	dn
NC_000011.10:27287020	ENSG00000109881.17	CCDC34	chr11	27287020	1	4.57067e-08	up
NC_000008.11:56362321	ENSG00000170786.13	SDR16C5	chr8	56362321	1	4.66213e-08	dn
NC_000009.12:113087608	ENSG00000136866.14	ZFP37	chr9	113087608	1	4.74003e-08	dn
NC_000004.12:151530708	ENSG00000164142.16	FHIP1A	chr4	151530708	1	4.76021e-08	body
NC_000010.11:122695746	ENSG00000183559.12	C10orf120	chr10	122695746	1	4.79503e-08	up
NC_000006.12:75347697	ENSG00000112697.17	TMEM30A	chr6	75347697	1	4.87465e-08	dn
NC_000002.12:224322915	ENSG00000124019.10	FAM124B	chr2	224322915	1	4.92302e-08	up
NC_000020.11:31062128	ENSG00000215547.1	DEFB115	chr20	31062128	1	4.982e-08	up
NC_000001.11:2675616	ENSG00000142606.16	MMEL1	chr1	2675616	3	5.12903e-08	body,dn,up
NC_000010.11:122804618	ENSG00000138161.14	CUZD1	chr10	122804618	1	5.16219e-08	up
NC_000011.10:86623514	ENSG00000151376.19	ME3	chr11	86623514	2	5.28956e-08	body,up
NC_000010.11:46897238	ENSG00000204179.11	PTPN20	chr10	46897238	1	5.3497e-08	up
NC_000022.11:49762316	ENSG00000100425.19	BRD1	chr22	49762316	2	5.5021e-08	enh,up
NC_000001.11:121020977	ENSG00000263353.4	PPIAL4A	chr1	121020977	1	5.55475e-08	up
NC_000008.11:66330417	ENSG00000179041.4	RRS1	chr8	66330417	1	5.57896e-08	up
NC_000009.12:113081675	ENSG00000136866.14	ZFP37	chr9	113081675	1	5.72628e-08	dn
NC_000014.9:31473679	ENSG00000214943.5	GPR33	chr14	31473679	1	5.72843e-08	up
NC_000001.11:2669215	ENSG00000142606.16	MMEL1	chr1	2669215	3	5.83309e-08	body,dn,up
NC_000001.11:157195424	ENSG00000117036.12	ETV3	chr1	157195424	1	6.24648e-08	dn
NC_000005.10:127106407	ENSG00000164241.14	C5orf63	chr5	127106407	1	6.30147e-08	dn
NC_000004.12:72039619	ENSG00000056291.19	NPFFR2	chr4	72039619	1	6.31714e-08	body
NC_000006.12:157312211	ENSG00000215712.11	TMEM242	chr6	157312211	1	6.32723e-08	up
NC_000001.11:2672138	ENSG00000142606.16	MMEL1	chr1	2672138	3	6.39199e-08	body,dn,up
NC_000011.10:112904113	ENSG00000149294.18	NCAM1	chr11	112904113	1	6.50636e-08	prom
NC_000020.11:43103987	ENSG00000196090.14	PTPRT	chr20	43103987	1	6.6548e-08	up
NC_000012.12:30879115	ENSG00000110900.16	TSPAN11	chr12	30879115	1	7.34568e-08	up
NC_000012.12:48542545	ENSG00000284723.2	OR8S1	chr12	48542545	1	7.38158e-08	up
NC_000004.12:109429414	ENSG00000138802.11	SEC24B	chr4	109429414	2	7.44925e-08	body,up
NC_000012.12:63735167	ENSG00000118600.13	RXYLT1	chr12	63735167	1	7.57024e-08	up
NC_000021.9:36450674	ENSG00000159259.8	CHAF1B	chr21	36450674	1	7.81578e-08	dn
NC_000012.12:112591396	ENSG00000089169.15	RPH3A	chr12	112591396	1	7.94335e-08	enh
NC_000020.11:31167895	ENSG00000215547.1	DEFB115	chr20	31167895	1	7.96721e-08	up
NC_000001.11:2675590	ENSG00000142606.16	MMEL1	chr1	2675590	3	8.03017e-08	body,dn,up
NC_000007.14:159116855	ENSG00000106018.14	VIPR2	chr7	159116855	3	8.11718e-08	body,dn,up
NC_000006.12:157312462	ENSG00000215712.11	TMEM242	chr6	157312462	1	8.35417e-08	up
NC_000019.10:22633832	ENSG00000229676.3	ZNF492	chr19	22633832	2	8.35658e-08	prom,up
NC_000010.11:46885286	ENSG00000204179.11	PTPN20	chr10	46885286	1	8.38935e-08	up
NC_000004.12:82474156	ENSG00000145293.17	ENOPH1	chr4	82474156	1	8.5189e-08	dn
NC_000005.10:179109578	ENSG00000177932.7	ZNF354C	chr5	179109578	1	8.62427e-08	dn
NC_000013.11:23665582	ENSG00000127863.16	TNFRSF19	chr13	23665582	1	8.70646e-08	body
NC_000013.11:94401660	ENSG00000080166.16	DCT	chr13	94401660	1	8.82688e-08	up
NC_000009.12:113082131	ENSG00000136866.14	ZFP37	chr9	113082131	1	8.8446e-08	dn
NC_000004.12:82482261	ENSG00000145293.17	ENOPH1	chr4	82482261	1	8.91157e-08	dn
NC_000019.10:21561613	ENSG00000197013.11	ZNF429	chr19	21561613	1	9.00122e-08	dn
NC_000002.12:118892104	ENSG00000163064.7	EN1	chr2	118892104	1	9.11524e-08	dn
NC_000022.11:47229329	ENSG00000054611.14	TBC1D22A	chr22	47229329	1	9.12955e-08	dn
NC_000001.11:2673224	ENSG00000142606.16	MMEL1	chr1	2673224	3	9.24377e-08	body,dn,up
NC_000002.12:1170166	ENSG00000115705.22	TPO	chr2	1170166	1	9.29083e-08	up
NC_000012.12:15352135	ENSG00000134533.6	RERG	chr12	15352135	2	9.55952e-08	body,dn
NC_000020.11:1149892	ENSG00000125895.6	TMEM74B	chr20	1149892	1	9.72066e-08	up
NC_000012.12:30878974	ENSG00000110900.16	TSPAN11	chr12	30878974	1	9.84514e-08	up
NC_000009.12:138176443	ENSG00000148408.15	CACNA1B	chr9	138176443	1	9.84782e-08	prom
NC_000003.12:126865955	ENSG00000114554.12	PLXNA1	chr3	126865955	2	9.88771e-08	enh,up
NC_000012.12:119554504	ENSG00000224982.4	TMEM233	chr12	119554504	1	1.00463e-07	up
NC_000002.12:3287313	ENSG00000032389.13	EIPR1	chr2	3287313	3	1.0109e-07	body,dn,up
NC_000006.12:169567726	ENSG00000285733.1	ENSG00000285733	chr6	169567726	1	1.02803e-07	dn
NC_000002.12:3329050	ENSG00000032389.13	EIPR1	chr2	3329050	2	1.03112e-07	body,up
NC_000006.12:157311786	ENSG00000215712.11	TMEM242	chr6	157311786	1	1.0329e-07	up
NC_000020.11:31097246	ENSG00000215547.1	DEFB115	chr20	31097246	1	1.04756e-07	up
NC_000009.12:113082189	ENSG00000136866.14	ZFP37	chr9	113082189	1	1.05128e-07	dn
NC_000001.11:736827	ENSG00000284662.2	OR4F16	chr1	736827	1	1.06042e-07	dn
NC_000006.12:116604944	ENSG00000111834.13	RSPH4A	chr6	116604944	1	1.07078e-07	up
NC_000009.12:138175266	ENSG00000148408.15	CACNA1B	chr9	138175266	1	1.07529e-07	prom
NC_000011.10:110508055	ENSG00000137714.3	FDX1	chr11	110508055	2	1.09874e-07	body,dn
NC_000002.12:112424689	ENSG00000169629.12	RGPD8	chr2	112424689	3	1.1336e-07	dn,prom,up
NC_000017.11:73179946	ENSG00000166685.13	COG1	chr17	73179946	2	1.13886e-07	dn,prom
NC_000002.12:102219113	ENSG00000115598.10	IL1RL2	chr2	102219113	1	1.14233e-07	body
NC_000006.12:166613753	ENSG00000235272.3	RAMACL	chr6	166613753	2	1.15083e-07	dn,enh
NC_000011.10:63224958	ENSG00000196600.13	SLC22A25	chr11	63224958	2	1.17474e-07	body,up
NC_000020.11:31231831	ENSG00000215547.1	DEFB115	chr20	31231831	1	1.18954e-07	up
NC_000011.10:3441132	ENSG00000005801.18	ZNF195	chr11	3441132	1	1.20469e-07	dn
NC_000003.12:38081021	ENSG00000008226.20	DLEC1	chr3	38081021	1	1.26451e-07	body
NC_000001.11:115319904	ENSG00000134259.6	NGF	chr1	115319904	1	1.27255e-07	up
NC_000008.11:272124	ENSG00000172748.14	ZNF596	chr8	272124	1	1.31232e-07	dn
NC_000009.12:113082476	ENSG00000136866.14	ZFP37	chr9	113082476	1	1.31774e-07	dn
NC_000021.9:44059022	ENSG00000160218.13	TRAPPC10	chr21	44059022	2	1.32734e-07	body,enh
NC_000020.11:31175806	ENSG00000215547.1	DEFB115	chr20	31175806	1	1.33498e-07	up
NC_000002.12:33639019	ENSG00000119812.20	FAM98A	chr2	33639019	3	1.3545e-07	body,dn,up
NC_000020.11:31228264	ENSG00000215547.1	DEFB115	chr20	31228264	1	1.35568e-07	up
NC_000009.12:113081353	ENSG00000136866.14	ZFP37	chr9	113081353	1	1.35885e-07	dn
NC_000005.10:850176	ENSG00000188818.13	ZDHHC11	chr5	850176	3	1.37938e-07	body,dn,up
NC_000007.14:108103032	ENSG00000091128.13	LAMB4	chr7	108103032	1	1.38011e-07	enh
NC_000001.11:2671108	ENSG00000142606.16	MMEL1	chr1	2671108	3	1.3906e-07	body,dn,up
NC_000009.12:113060060	ENSG00000136866.14	ZFP37	chr9	113060060	1	1.39655e-07	dn
NC_000002.12:74931772	ENSG00000115350.12	POLE4	chr2	74931772	1	1.39674e-07	dn
NC_000012.12:62460590	ENSG00000061987.16	MON2	chr12	62460590	1	1.41938e-07	body
NC_000008.11:66342051	ENSG00000179041.4	RRS1	chr8	66342051	1	1.42585e-07	up
NC_000009.12:113082006	ENSG00000136866.14	ZFP37	chr9	113082006	1	1.43181e-07	dn
NC_000007.14:101000594	ENSG00000169876.14	MUC17	chr7	101000594	1	1.44517e-07	up
NC_000005.10:56908466	ENSG00000155542.12	SETD9	chr5	56908466	1	1.5169e-07	up
NC_000011.10:5896172	ENSG00000277932.2	OR52E5	chr11	5896172	1	1.54179e-07	up
NC_000008.11:22922365	ENSG00000008853.18	RHOBTB2	chr8	22922365	2	1.54214e-07	enh,up
NC_000010.11:38215389	ENSG00000283930.1	PLD5P1	chr10	38215389	2	1.55401e-07	body,dn
NC_000006.12:149981403	ENSG00000111981.5	ULBP1	chr6	149981403	1	1.57899e-07	dn
NC_000019.10:23892142	ENSG00000213967.12	ZNF726	chr19	23892142	1	1.57985e-07	dn
NC_000009.12:113065853	ENSG00000136866.14	ZFP37	chr9	113065853	1	1.58809e-07	dn
NC_000008.11:66365538	ENSG00000179041.4	RRS1	chr8	66365538	1	1.5886e-07	up
NC_000009.12:113065776	ENSG00000136866.14	ZFP37	chr9	113065776	1	1.59728e-07	dn
NC_000001.11:152213701	ENSG00000197915.7	HRNR	chr1	152213701	1	1.63146e-07	dn
NC_000012.12:108836003	ENSG00000084112.15	SSH1	chr12	108836003	3	1.64557e-07	body,dn,up
NC_000006.12:157285398	ENSG00000215712.11	TMEM242	chr6	157285398	1	1.65076e-07	up
NC_000012.12:109407972	ENSG00000174527.11	MYO1H	chr12	109407972	1	1.65278e-07	body
NC_000001.11:121020906	ENSG00000263353.4	PPIAL4A	chr1	121020906	1	1.65712e-07	up
NC_000001.11:121021079	ENSG00000263353.4	PPIAL4A	chr1	121021079	1	1.67218e-07	up
NC_000012.12:27971403	ENSG00000087494.16	PTHLH	chr12	27971403	2	1.67329e-07	body,dn
NC_000001.11:121016728	ENSG00000263353.4	PPIAL4A	chr1	121016728	1	1.70123e-07	up
NC_000020.11:22674679	ENSG00000125798.15	FOXA2	chr20	22674679	1	1.71979e-07	dn
NC_000009.12:113065443	ENSG00000136866.14	ZFP37	chr9	113065443	1	1.73036e-07	dn
NC_000017.11:21722347	ENSG00000260458.3	KCNJ18	chr17	21722347	1	1.74261e-07	dn
NC_000010.11:79957579	ENSG00000133661.17	SFTPD	chr10	79957579	2	1.74721e-07	body,up
NC_000016.10:20768202	ENSG00000066654.14	THUMPD1	chr16	20768202	1	1.74942e-07	dn
NC_000016.10:70169349	ENSG00000157335.21	CLEC18C	chr16	70169349	1	1.7595e-07	up
NC_000010.11:46879039	ENSG00000204179.11	PTPN20	chr10	46879039	1	1.77904e-07	up
NC_000004.12:147488545	ENSG00000151617.17	EDNRA	chr4	147488545	1	1.78638e-07	up
NC_000021.9:35866770	ENSG00000159216.20	RUNX1	chr21	35866770	1	1.83385e-07	body
NC_000006.12:160539839	ENSG00000198670.13	LPA	chr6	160539839	1	1.84649e-07	dn
NC_000006.12:25955640	ENSG00000112343.11	TRIM38	chr6	25955640	1	1.85017e-07	dn
NC_000019.10:36293627	ENSG00000196357.12	ZNF565	chr19	36293627	2	1.86765e-07	dn,up
NC_000009.12:113082088	ENSG00000136866.14	ZFP37	chr9	113082088	1	1.86974e-07	dn
NC_000004.12:82482289	ENSG00000145293.17	ENOPH1	chr4	82482289	1	1.89716e-07	dn
NC_000014.9:56235475	ENSG00000139946.11	PELI2	chr14	56235475	1	1.90416e-07	body
NC_000012.12:42080586	ENSG00000151233.11	GXYLT1	chr12	42080586	3	1.96184e-07	body,dn,up
NC_000001.11:180970585	ENSG00000135823.14	STX6	chr1	180970585	4	1.97945e-07	body,dn,prom,up
NC_000009.12:113082004	ENSG00000136866.14	ZFP37	chr9	113082004	1	1.98786e-07	dn
NC_000003.12:195623141	ENSG00000189058.9	APOD	chr3	195623141	1	1.99511e-07	dn
NC_000011.10:27635221	ENSG00000176697.20	BDNF	chr11	27635221	1	2.01209e-07	up
NC_000011.10:13325619	ENSG00000133794.20	BMAL1	chr11	13325619	1	2.03381e-07	up
NC_000009.12:138176241	ENSG00000148408.15	CACNA1B	chr9	138176241	1	2.03494e-07	prom
NC_000010.11:38834315	ENSG00000283930.1	PLD5P1	chr10	38834315	1	2.06499e-07	prom
NC_000002.12:113238880	ENSG00000125618.18	PAX8	chr2	113238880	4	2.0915e-07	body,dn,enh,up
NC_000003.12:125990181	ENSG00000114547.10	ROPN1B	chr3	125990181	1	2.13631e-07	dn
NC_000008.11:66362971	ENSG00000179041.4	RRS1	chr8	66362971	1	2.17037e-07	up
NC_000009.12:113087617	ENSG00000136866.14	ZFP37	chr9	113087617	1	2.20549e-07	dn
NC_000009.12:113066376	ENSG00000136866.14	ZFP37	chr9	113066376	1	2.21288e-07	dn
NC_000001.11:2661472	ENSG00000142606.16	MMEL1	chr1	2661472	3	2.22472e-07	body,dn,up
NC_000004.12:61160608	ENSG00000150471.17	ADGRL3	chr4	61160608	1	2.23282e-07	up
NC_000010.11:38792584	ENSG00000283930.1	PLD5P1	chr10	38792584	3	2.25497e-07	body,dn,up
NC_000017.11:21734652	ENSG00000260458.3	KCNJ18	chr17	21734652	1	2.26935e-07	dn
NC_000002.12:74954540	ENSG00000115350.12	POLE4	chr2	74954540	1	2.28414e-07	dn
NC_000007.14:158543149	ENSG00000155093.20	PTPRN2	chr7	158543149	1	2.3268e-07	up
NC_000009.12:14809	ENSG00000181404.18	WASHC1	chr9	14809	1	2.34042e-07	dn
NC_000002.12:74931398	ENSG00000115350.12	POLE4	chr2	74931398	1	2.3807e-07	dn
NC_000001.11:2680507	ENSG00000142606.16	MMEL1	chr1	2680507	3	2.398e-07	body,dn,up
NC_000002.12:74930944	ENSG00000115350.12	POLE4	chr2	74930944	1	2.4823e-07	dn
NC_000007.14:30543985	ENSG00000281039.1	ENSG00000281039	chr7	30543985	1	2.53546e-07	dn
NC_000007.14:53768681	ENSG00000221900.6	POM121L12	chr7	53768681	1	2.54069e-07	enh
NC_000004.12:77302949	ENSG00000138764.15	CCNG2	chr4	77302949	1	2.57199e-07	body
NC_000008.11:272046	ENSG00000172748.14	ZNF596	chr8	272046	1	2.62924e-07	dn
NC_000018.10:49814989	ENSG00000167315.18	ACAA2	chr18	49814989	2	2.68717e-07	enh,up
NC_000010.11:38490702	ENSG00000283930.1	PLD5P1	chr10	38490702	1	2.72969e-07	up
NC_000010.11:38090950	ENSG00000075407.19	ZNF37A	chr10	38090950	1	2.80814e-07	up
NC_000002.12:234529438	ENSG00000188042.8	ARL4C	chr2	234529438	1	2.81163e-07	dn
NC_000010.11:46891276	ENSG00000204179.11	PTPN20	chr10	46891276	1	2.82459e-07	up
NC_000010.11:46895989	ENSG00000204179.11	PTPN20	chr10	46895989	1	2.83147e-07	up
NC_000009.12:113082213	ENSG00000136866.14	ZFP37	chr9	113082213	1	2.83839e-07	dn
NC_000009.12:138175440	ENSG00000148408.15	CACNA1B	chr9	138175440	1	2.92392e-07	prom
NC_000009.12:113087635	ENSG00000136866.14	ZFP37	chr9	113087635	1	2.92847e-07	dn
NC_000007.14:87209820	ENSG00000135185.12	TMEM243	chr7	87209820	3	2.9417e-07	body,dn,up
NC_000017.11:73191448	ENSG00000166685.13	COG1	chr17	73191448	1	2.96024e-07	prom
NC_000005.10:56908400	ENSG00000155542.12	SETD9	chr5	56908400	1	2.96857e-07	up
NC_000020.11:31224857	ENSG00000215547.1	DEFB115	chr20	31224857	1	2.97608e-07	up
NC_000018.10:107486	ENSG00000173213.11	TUBB8B	chr18	107486	1	3.00817e-07	dn
NC_000011.10:27634112	ENSG00000176697.20	BDNF	chr11	27634112	1	3.03135e-07	up
NC_000009.12:138176853	ENSG00000148408.15	CACNA1B	chr9	138176853	1	3.08199e-07	prom
NC_000005.10:179103784	ENSG00000177932.7	ZNF354C	chr5	179103784	1	3.11183e-07	dn
NC_000009.12:113065829	ENSG00000136866.14	ZFP37	chr9	113065829	1	3.11884e-07	dn
NC_000021.9:12710249	ENSG00000166351.11	POTED	chr21	12710249	1	3.21553e-07	dn
NC_000005.10:843936	ENSG00000188818.13	ZDHHC11	chr5	843936	3	3.25561e-07	body,dn,up
NC_000009.12:113079362	ENSG00000136866.14	ZFP37	chr9	113079362	1	3.27332e-07	dn
NC_000005.10:73061022	ENSG00000157111.13	TMEM171	chr5	73061022	1	3.32179e-07	up
NC_000019.10:22633705	ENSG00000229676.3	ZNF492	chr19	22633705	3	3.33147e-07	body,dn,prom
NC_000008.11:108312651	ENSG00000104408.11	EIF3E	chr8	108312651	2	3.33759e-07	body,up
NC_000013.11:111175936	ENSG00000102606.20	ARHGEF7	chr13	111175936	1	3.36762e-07	enh
NC_000006.12:157285218	ENSG00000215712.11	TMEM242	chr6	157285218	1	3.37548e-07	up
NC_000005.10:127116826	ENSG00000164241.14	C5orf63	chr5	127116826	1	3.39017e-07	dn
NC_000012.12:112652344	ENSG00000089169.15	RPH3A	chr12	112652344	1	3.40225e-07	enh
NC_000001.11:121647847	ENSG00000188610.12	FAM72B	chr1	121647847	1	3.41759e-07	up
NC_000009.12:113376077	ENSG00000119431.10	HDHD3	chr9	113376077	5	3.43654e-07	body,dn,enh,prom,up
NC_000001.11:153129814	ENSG00000244094.2	SPRR2F	chr1	153129814	1	3.50427e-07	dn
NC_000001.11:2672496	ENSG00000142606.16	MMEL1	chr1	2672496	3	3.55547e-07	body,dn,up
NC_000007.14:159116906	ENSG00000106018.14	VIPR2	chr7	159116906	3	3.55681e-07	body,dn,up
NC_000009.12:113081954	ENSG00000136866.14	ZFP37	chr9	113081954	1	3.56735e-07	dn
NC_000006.12:169572678	ENSG00000285733.1	ENSG00000285733	chr6	169572678	1	3.57901e-07	dn
NC_000012.12:39752235	ENSG00000180116.15	REDIC1	chr12	39752235	1	3.60734e-07	body
NC_000001.11:2672647	ENSG00000142606.16	MMEL1	chr1	2672647	3	3.61424e-07	body,dn,up
NC_000012.12:112562547	ENSG00000089169.15	RPH3A	chr12	112562547	1	3.63493e-07	enh
NC_000011.10:102601720	ENSG00000137674.4	MMP20	chr11	102601720	4	3.66744e-07	body,dn,enh,up
NC_000020.11:30280361	ENSG00000215547.1	DEFB115	chr20	30280361	1	3.72359e-07	up
NC_000008.11:66333454	ENSG00000179041.4	RRS1	chr8	66333454	1	3.72727e-07	up
NC_000007.14:24153590	ENSG00000122585.8	NPY	chr7	24153590	1	3.75433e-07	up
NC_000007.14:158915689	ENSG00000126870.16	DYNC2I1	chr7	158915689	1	3.76702e-07	body
NC_000001.11:2672840	ENSG00000142606.16	MMEL1	chr1	2672840	3	3.77296e-07	body,dn,up
NC_000018.10:58727460	ENSG00000172175.16	MALT1	chr18	58727460	1	3.82185e-07	dn
NC_000001.11:214486920	ENSG00000152104.12	PTPN14	chr1	214486920	2	3.83154e-07	body,dn
NC_000003.12:56540400	ENSG00000180376.17	CCDC66	chr3	56540400	1	3.87968e-07	body
NC_000001.11:121020670	ENSG00000263353.4	PPIAL4A	chr1	121020670	1	3.88439e-07	up
NC_000005.10:11262621	ENSG00000112977.16	DAP	chr5	11262621	1	3.90986e-07	prom
NC_000007.14:65188559	ENSG00000213462.5	ERV3-1	chr7	65188559	1	3.9427e-07	up
NC_000006.12:52066755	ENSG00000170927.15	PKHD1	chr6	52066755	1	3.96738e-07	up
NC_000010.11:46879405	ENSG00000204179.11	PTPN20	chr10	46879405	1	4.16138e-07	up
NC_000009.12:113082223	ENSG00000136866.14	ZFP37	chr9	113082223	1	4.22675e-07	dn
NC_000001.11:2674232	ENSG00000142606.16	MMEL1	chr1	2674232	3	4.25296e-07	body,dn,up
NC_000006.12:149981411	ENSG00000111981.5	ULBP1	chr6	149981411	1	4.25597e-07	dn
NC_000011.10:27634323	ENSG00000176697.20	BDNF	chr11	27634323	1	4.25955e-07	up
NC_000012.12:59101756	ENSG00000139263.12	LRIG3	chr12	59101756	1	4.31639e-07	enh
NC_000013.11:51164009	ENSG00000226792.8	C13orf42	chr13	51164009	3	4.36141e-07	body,dn,up
NC_000011.10:27634366	ENSG00000176697.20	BDNF	chr11	27634366	1	4.3685e-07	up
NC_000009.12:113083460	ENSG00000136866.14	ZFP37	chr9	113083460	1	4.39078e-07	dn
NC_000018.10:79385511	ENSG00000131196.18	NFATC1	chr18	79385511	1	4.44886e-07	up
NC_000007.14:158916324	ENSG00000126870.16	DYNC2I1	chr7	158916324	1	4.45723e-07	body
NC_000001.11:2673383	ENSG00000142606.16	MMEL1	chr1	2673383	3	4.46436e-07	body,dn,up
NC_000010.11:122977280	ENSG00000179988.15	PSTK	chr10	122977280	1	4.59845e-07	body
NC_000008.11:66315538	ENSG00000179041.4	RRS1	chr8	66315538	1	4.62783e-07	up
NC_000001.11:2680837	ENSG00000142606.16	MMEL1	chr1	2680837	3	4.67152e-07	body,dn,up
NC_000014.9:34672924	ENSG00000165410.15	CFL2	chr14	34672924	1	4.75394e-07	up
NC_000001.11:107764322	ENSG00000134215.16	VAV3	chr1	107764322	1	4.79141e-07	body
NC_000002.12:234544958	ENSG00000188042.8	ARL4C	chr2	234544958	1	4.80838e-07	dn
NC_000007.14:76956661	ENSG00000186645.11	SPDYE17	chr7	76956661	1	4.87642e-07	up
NC_000012.12:112708744	ENSG00000089169.15	RPH3A	chr12	112708744	1	4.87732e-07	enh
NC_000008.11:66327948	ENSG00000179041.4	RRS1	chr8	66327948	1	4.90511e-07	up
NC_000010.11:133541612	ENSG00000130649.10	CYP2E1	chr10	133541612	1	4.91145e-07	body
NC_000004.12:119405318	ENSG00000145384.4	FABP2	chr4	119405318	1	4.94627e-07	dn
NC_000006.12:169598737	ENSG00000285733.1	ENSG00000285733	chr6	169598737	1	4.96132e-07	dn
NC_000002.12:74950227	ENSG00000115350.12	POLE4	chr2	74950227	1	4.97472e-07	dn
NC_000005.10:137680698	ENSG00000146021.15	KLHL3	chr5	137680698	3	4.97948e-07	body,dn,up
NC_000009.12:113059960	ENSG00000136866.14	ZFP37	chr9	113059960	1	5.00188e-07	dn
NC_000002.12:200687794	ENSG00000138356.14	AOX1	chr2	200687794	1	5.05919e-07	dn
NC_000011.10:11787772	ENSG00000170242.19	USP47	chr11	11787772	1	5.0623e-07	up
NC_000001.11:2675569	ENSG00000142606.16	MMEL1	chr1	2675569	1	5.07096e-07	dn
NC_000010.11:46886587	ENSG00000204179.11	PTPN20	chr10	46886587	1	5.09894e-07	up
NC_000013.11:110959417	ENSG00000088448.14	ANKRD10	chr13	110959417	2	5.20371e-07	dn,enh
NC_000017.11:73178027	ENSG00000180616.9	SSTR2	chr17	73178027	2	5.24179e-07	dn,prom
NC_000002.12:197912493	ENSG00000115896.17	PLCL1	chr2	197912493	1	5.26703e-07	body
NC_000001.11:121020807	ENSG00000263353.4	PPIAL4A	chr1	121020807	1	5.27525e-07	up
NC_000001.11:152219065	ENSG00000197915.7	HRNR	chr1	152219065	1	5.33775e-07	dn
NC_000009.12:86013291	ENSG00000135040.16	NAA35	chr9	86013291	1	5.37146e-07	dn
NC_000003.12:133875270	ENSG00000154917.11	RAB6B	chr3	133875270	3	5.41469e-07	body,dn,up
NC_000017.11:73178199	ENSG00000180616.9	SSTR2	chr17	73178199	2	5.43927e-07	dn,prom
NC_000020.11:31237141	ENSG00000215547.1	DEFB115	chr20	31237141	1	5.44252e-07	up
NC_000002.12:74944503	ENSG00000115350.12	POLE4	chr2	74944503	1	5.44987e-07	dn
NC_000010.11:38832499	ENSG00000283930.1	PLD5P1	chr10	38832499	1	5.52892e-07	dn
NC_000006.12:157286950	ENSG00000215712.11	TMEM242	chr6	157286950	1	5.55615e-07	up
NC_000009.12:113087743	ENSG00000136866.14	ZFP37	chr9	113087743	1	5.58468e-07	dn
NC_000003.12:14209963	ENSG00000170860.4	LSM3	chr3	14209963	1	5.58617e-07	up
