gene	class	priority	epifactors_function	modification	target	complex_name	source	match_rule
ZNF541	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZNHIT1	chromatin_remodeling	2	Chromatin remodeling cofactor, Histone modification erase cofactor	Histone acetylation	histone	SRCAP	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZRANB3	chromatin_remodeling	2	Chromatin remodeling, Histone modification read cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ASXL1	polycomb	3	Histone modification erase, Polycomb group (PcG) protein	Histone deubiquitination	histone	PR-DUB	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ASXL3	polycomb	3	Scaffold protein, Polycomb group (PcG) protein	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BAP1	polycomb	3	Histone modification erase, Polycomb group (PcG) protein	Histone deubiquitination	histone	PR-DUB	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BCOR	polycomb	3	Polycomb group (PcG) protein	#	#	BCOR	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BMI1	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EED	polycomb	3	Polycomb group (PcG) protein	#	#	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EPC1	polycomb	3	Polycomb group (PcG) protein	#	histone	NuA4, Piccolo_NuA4, NuA4-related complex	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EZH1	polycomb	3	Histone modification write, Polycomb group (PcG) protein	Histone methylation	histone	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EZH2	polycomb	3	Histone modification write, Polycomb group (PcG) protein	Histone methylation	histone	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MBTD1	polycomb	3	Polycomb group (PcG) protein	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MTF2	polycomb	3	Polycomb group (PcG) protein	#	histone	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PARP3	polycomb	3	Polycomb group (PcG) protein	#	#	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PCGF1	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1, BCOR	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PCGF2	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PCGF3	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1, RING2-FBRS	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PCGF5	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1, RING2-FBRS	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PCGF6	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1, RING2-L3MBTL2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHC1	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHC2	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHC3	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHF1	polycomb	3	Polycomb group (PcG) protein	#	#	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RING1	polycomb	3	Histone modification write, Polycomb group (PcG) protein	Histone ubiquitination	histone	PRC1, BCOR, RING2-L3MBTL2, RING2-FBRS	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RYBP	polycomb	3	Polycomb group (PcG) protein	#	#	BCOR, RING2-L3MBTL2, RING2-FBRS	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SCMH1	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SCML2	polycomb	3	Polycomb group (PcG) protein	#	#	PRC1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SCML4	polycomb	3	Polycomb group (PcG) protein	#	#	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SFMBT1	polycomb	3	Polycomb group (PcG) protein	#	histone	SCL	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SFMBT2	polycomb	3	Histone modification read, Polycomb group (PcG) protein, TF	TF repressor	histone, DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SUZ12	polycomb	3	Histone modification write cofactor, Histone modification write cofactor, Polycomb group (PcG) protein, TF	Histone methylation, Histone ubiquitination, TF repressor	DNA	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ANP32B	histone_chaperone	4	Histone chaperone	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ANP32E	histone_chaperone	4	Histone chaperone, Histone modification read	#	histone	SWR	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ASF1A	histone_chaperone	4	Histone chaperone	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ASF1B	histone_chaperone	4	Histone chaperone	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BAZ1A	histone_chaperone	4	Histone chaperone	#	histone	ACF, CHRAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHRAC1	histone_chaperone	4	Histone chaperone	#	DNA	CHRAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DR1	histone_chaperone	4	Histone chaperone	#	histone	ATAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HJURP	histone_chaperone	4	Histone chaperone	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NAP1L1	histone_chaperone	4	Histone chaperone	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NCL	histone_chaperone	4	Histone chaperone	#	histone, DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NPM1	histone_chaperone	4	Histone chaperone	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NPM2	histone_chaperone	4	Histone chaperone	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
POLE3	histone_chaperone	4	Histone chaperone	#	histone	CHRAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RBBP4	histone_chaperone	4	Histone chaperone	#	histone	NuRF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, NuRD, mSin3A, core HDAC, mSin3A-like complex, PRC2, CAF-1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RBBP7	histone_chaperone	4	Histone chaperone	#	histone	NuRF, NuRD, mSin3A, core HDAC, mSin3A-like complex, PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SUPT7L	histone_chaperone	4	Histone chaperone	#	histone	TFTC-HAT, STAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TADA1	histone_chaperone	4	Histone chaperone	#	histone	STAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TAF10	histone_chaperone	4	Histone chaperone, Histone modification write	Histone acetylation	histone	PCAF, TFTC-HAT, SAGA, STAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TAF12	histone_chaperone	4	Histone chaperone, Histone modification write	Histone acetylation	histone	PCAF, STAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TAF4	histone_chaperone	4	Histone chaperone	#	histone	TFTC-HAT, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TAF6	histone_chaperone	4	Histone chaperone	#	DNA	TFTC-HAT, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TAF6L	histone_chaperone	4	Histone chaperone	#	histone	PCAF, TFTC-HAT, STAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TAF8	histone_chaperone	4	Histone chaperone	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TAF9	histone_chaperone	4	Histone chaperone	#	DNA	PCAF, STAGA, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TAF9B	histone_chaperone	4	Histone chaperone	#	histone	TFTC-HAT	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
YEATS2	histone_chaperone	4	Histone chaperone	#	histone	ATAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ATN1	histone_erase	5	Histone modification erase cofactor	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ATXN7L3	histone_erase	5	Histone modification erase cofactor	Histone deubiquitination	histone	SAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BABAM1	histone_erase	5	Histone modification erase cofactor	Histone deubiquitination	histone	BRISC, BRCA1-A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BCORL1	histone_erase	5	Histone modification erase cofactor	Histone deacetylation	histone	BCOR	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BRCC3	histone_erase	5	Histone modification erase	Histone deubiquitination	histone	BRISC, BRCA1-A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BRMS1L	histone_erase	5	Histone modification erase	Histone deacetylation	histone	mSin3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
C14ORF169	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DNAJC1	histone_erase	5	Histone modification write cofactor, Histone modification erase cofactor	Histone acetylation, Histone deacetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EID2B	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ENY2	histone_erase	5	Histone modification erase cofactor	Histone ubiquitination	histone	SAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EYA1	histone_erase	5	Histone modification erase	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EYA2	histone_erase	5	Histone modification erase	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EYA3	histone_erase	5	Histone modification erase	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EYA4	histone_erase	5	Histone modification erase	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
FAM175B	histone_erase	5	Histone modification erase cofactor	Histone ubiquitination	histone	BRISC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
GSE1	histone_erase	5	Histone modification erase	Histone acetylation	RNA	BHC, LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC1	histone_erase	5	Histone modification erase	Histone acetylation	histone	SWI/SNF_Brm, NuRD, BHC, MeCP1, mSin3A, core HDAC, mSin3A-like complex, RING2-L3MBTL2, CREST-BRG1, LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC10	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC11	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC2	histone_erase	5	Histone modification erase	Histone acetylation	histone	SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, NuRD, BHC, MeCP1, mSin3A, core HDAC, mSin3A-like complex, RING2-L3MBTL2, LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC3	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC4	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC5	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC6	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC7	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC8	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HDAC9	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HIF1AN	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HR	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
JMJD1C	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
JMJD6	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM1A	histone_erase	5	Histone modification erase	Histone methylation	histone	NuRD, BHC, SCL	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM1B	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM2A	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM2B	histone_erase	5	Histone modification erase	Histone methylation	histone	BCOR	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM3A	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM3B	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM4A	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM4B	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM4C	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM4D	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM4E	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM5A	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM5B	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM5C	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM5D	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM6A	histone_erase	5	Histone modification erase	Histone methylation	histone	CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM6B	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM7A	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KDM8	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MBD2	histone_erase	5	Histone modification write cofactor, Histone modification erase cofactor, TF	Histone methylation, Histone acetylation, TF repressor	DNA	NuRD, MeCP1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MBD3	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	NuRD	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MINA	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MORF4L2	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	NuA4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MPND	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MTA2	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	NuRD	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MYSM1	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NCOR1	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NCOR2	histone_erase	5	Histone modification erase cofactor	Histone acetylation	#	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NIPBL	histone_erase	5	Histone modification erase cofactor	Histone acetylation	#	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHF12	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHF2	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHF21A	histone_erase	5	Histone modification erase cofactor	Histone methylation	histone	BHC, LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHF8	histone_erase	5	Histone modification erase	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PPP4C	histone_erase	5	Histone modification erase	Histone phosphorylation	histone	PPP4C-PPP4R2-PPP4R3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RAD51	histone_erase	5	Histone modification erase	Histone ubiquitination	#	BRCC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RCOR1	histone_erase	5	Histone modification erase cofactor, Histone modification erase cofactor	Histone acetylation, Histone methylation	histone	BHC, SCL, LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RCOR3	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
REST	histone_erase	5	Histone modification erase cofactor, TF	Histone acetylation, TF activator, TF repressor	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RLIM	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SAP130	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SAP18	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	mSin3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SAP25	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SAP30	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	mSin3A, mSin3A-like complex	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SAP30L	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SENP1	histone_erase	5	Histone modification erase cofactor	Histone sumoylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SENP3	histone_erase	5	Histone modification erase, Histone modification write cofactor	Histone sumoylation, Histone acetylation	histone	CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SIN3A	histone_erase	5	Histone modification erase cofactor, TF	Histone acetylation, TF activator, TF repressor	histone, DNA	SWI/SNF_Brg1(I), SWI/SNF_Brm, mSin3A, mSin3A-like complex	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SIN3B	histone_erase	5	Histone modification erase cofactor, TF	Histone acetylation, TF repressor	histone, DNA	mSin3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SIRT1	histone_erase	5	Histone modification erase, Histone modification write cofactor	Histone acetylation, Histone methylation	histone	eNoSc	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SIRT2	histone_erase	5	Histone modification erase, Histone modification write cofactor	Histone acetylation, Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SIRT6	histone_erase	5	Histone modification erase	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SIRT7	histone_erase	5	Histone modification erase	Histone acetylation	histone	B-WICH	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMEK1	histone_erase	5	Histone modification erase cofactor	Histone phosphorylation	histone	PPP4C-PPP4R2-PPP4R3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMEK2	histone_erase	5	Histone modification erase cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMYD4	histone_erase	5	Histone modification erase cofactor	Histone acetylation	#	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SNAI2	histone_erase	5	Histone modification erase cofactor	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SPEN	histone_erase	5	Histone modification erase cofactor, TF	Histone acetylation, TF activator, TF repressor	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SUDS3	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	mSin3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SUPT6H	histone_erase	5	Histone modification erase cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TLE4	histone_erase	5	Histone modification erase cofactor, TF	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TRIM27	histone_erase	5	Histone modification erase cofactor	Histone acetylation	#	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
UCHL5	histone_erase	5	Histone modification erase cofactor	Histone ubiquitination	histone	Ino80	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP11	histone_erase	5	Histone modification erase cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP12	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP15	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP16	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP17L2	histone_erase	5	Histone modification erase cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP21	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP44	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP46	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP49	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
UTY	histone_erase	5	Histone modification erase	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
YWHAB	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
YWHAE	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZBTB16	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZBTB33	histone_erase	5	Histone modification write cofactor, Histone modification erase cofactor, TF	Histone acetylation, Histone methylation, TF repressor	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZMYM2	histone_erase	5	Histone modification erase cofactor, TF	Histone acetylation	DNA	BHC, LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZMYM3	histone_erase	5	Histone modification erase cofactor	Histone acetylation	DNA	BHC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZMYND8	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZNF217	histone_erase	5	Histone modification erase cofactor, TF	Histone acetylation, TF repressor	DNA	BHC, LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZNF516	histone_erase	5	Histone modification erase cofactor, TF	Histone acetylation, TF repressor	histone, DNA	LSD-CoREST	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZNF532	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZNF592	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZNF687	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ZNF711	histone_erase	5	Histone modification erase cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
AEBP2	histone_write	6	Histone modification write cofactor	Histone methylation	DNA	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ARID1B	histone_write	6	Histone modification write	Histone ubiquitination	histone, DNA	BAF, nBAF, npBAF, PBAF, SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ARID4A	histone_write	6	Histone modification write cofactor	Histone acetylation	DNA	mSin3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ARID4B	histone_write	6	Histone modification write cofactor	Histone acetylation	DNA	mSin3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ARNTL	histone_write	6	Histone modification write cofactor, TF	TF activator	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ASH1L	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ASH2L	histone_write	6	Histone modification write cofactor	Histone methylation	histone	COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
